transaction_id,sale_date,sale_time,customer_id,gender,category,quantity,price_per_unit,cogs,total_sale
1,2025-01-01,10:15:00,101,Male,Electronics,2,299.99,199.99,599.98
2,2025-01-02,14:30:00,102,Female,Clothing,3,49.99,30.00,149.97
3,2025-01-03,11:00:00,103,Male,Groceries,5,9.99,4.50,49.95
4,2025-01-04,16:45:00,104,Female,Toys,1,19.99,12.00,19.99
5,2025-01-05,12:30:00,105,Male,Furniture,1,499.99,350.00,499.99
6,2025-01-06,13:20:00,106,Female,Electronics,2,149.99,100.00,299.98
7,2025-01-07,17:05:00,107,Male,Clothing,4,25.00,10.00,100.00
8,2025-01-08,09:10:00,108,Female,Groceries,7,4.99,2.50,34.93
9,2025-01-09,15:00:00,109,Male,Toys,2,29.99,15.00,59.98
10,2025-01-10,18:30:00,110,Female,Furniture,1,799.99,500.00,799.99
11,2025-01-11,10:00:00,111,Male,Electronics,3,199.99,130.00,599.97
12,2025-01-12,14:15:00,112,Female,Clothing,2,89.99,50.00,179.98
13,2025-01-13,11:45:00,113,Male,Groceries,4,3.99,1.75,15.96
14,2025-01-14,13:05:00,114,Female,Toys,3,15.99,8.00,47.97
15,2025-01-15,16:00:00,115,Male,Furniture,1,899.99,600.00,899.99
16,2025-01-16,18:20:00,116,Female,Electronics,2,129.99,90.00,259.98
17,2025-01-17,09:30:00,117,Male,Clothing,5,39.99,22.00,199.95
18,2025-01-18,12:10:00,118,Female,Groceries,6,6.49,3.25,38.94
19,2025-01-19,14:40:00,119,Male,Toys,4,25.00,18.00,100.00
20,2025-01-20,15:55:00,120,Female,Furniture,2,349.99,225.00,699.98
21,2025-01-21,16:00:00,121,Male,Electronics,3,399.99,270.00,1199.97
22,2025-01-22,18:25:00,122,Female,Clothing,2,59.99,35.00,119.98
23,2025-01-23,10:50:00,123,Male,Groceries,8,3.29,1.80,26.32
24,2025-01-24,12:30:00,124,Female,Toys,2,24.99,16.50,49.98
25,2025-01-25,15:00:00,125,Male,Furniture,1,999.99,600.00,999.99
26,2025-01-26,16:10:00,126,Female,Electronics,2,499.99,350.00,999.98
27,2025-01-27,13:15:00,127,Male,Clothing,3,19.99,12.00,59.97
28,2025-01-28,09:50:00,128,Female,Groceries,5,8.99,5.50,44.95
29,2025-01-29,14:30:00,129,Male,Toys,3,35.00,25.00,105.00
30,2025-02-01,11:05:00,130,Female,Furniture,2,799.99,500.00,1599.98
31,2025-02-02,14:10:00,131,Male,Electronics,1,229.99,150.00,229.99
32,2025-02-03,15:25:00,132,Female,Clothing,2,39.99,25.00,79.98
33,2025-02-04,17:30:00,133,Male,Groceries,4,4.99,2.00,19.96
34,2025-02-05,09:00:00,134,Female,Toys,1,12.99,8.00,12.99
35,2025-02-06,10:45:00,135,Male,Furniture,2,649.99,400.00,1299.98
36,2025-02-07,13:00:00,136,Female,Electronics,3,179.99,130.00,539.97
37,2025-02-08,16:20:00,137,Male,Clothing,2,79.99,45.00,159.98
38,2025-02-09,17:30:00,138,Female,Groceries,6,2.99,1.50,17.94
39,2025-02-10,12:00:00,139,Male,Toys,4,24.99,15.00,99.96
40,2025-02-11,15:10:00,140,Female,Furniture,1,749.99,450.00,749.99
41,2023-01-01,10:15:00,141,Male,Electronics,3,249.99,200.00,749.97
42,2023-02-02,14:30:00,142,Female,Clothing,4,59.99,35.00,239.96
43,2022-03-03,11:00:00,143,Male,Groceries,5,6.49,3.00,32.45
44,2022-04-04,16:45:00,144,Female,Toys,2,18.99,12.50,37.98
45,2023-05-05,13:20:00,145,Male,Furniture,1,699.99,400.00,699.99
46,2034-06-06,17:05:00,146,Female,Electronics,2,499.99,350.00,999.98
47,2022-07-07,09:10:00,147,Male,Clothing,3,39.99,25.00,119.97
48,2023-08-08,14:40:00,148,Female,Groceries,4,7.49,4.50,29.96
49,2034-09-09,15:00:00,149,Male,Toys,2,29.99,18.00,59.98
50,2022-10-10,16:30:00,150,Female,Furniture,1,599.99,350.00,599.99
51,2023-11-11,12:45:00,151,Male,Electronics,2,299.99,180.00,599.98
52,2034-12-12,14:55:00,152,Female,Clothing,3,79.99,45.00,239.97
53,2023-01-12,11:00:00,153,Male,Groceries,4,4.99,2.25,19.96
54,2022-02-13,13:25:00,154,Female,Toys,3,22.99,15.00,68.97
55,2023-03-14,09:30:00,155,Male,Furniture,1,799.99,450.00,799.99
56,2034-04-15,15:40:00,156,Female,Electronics,2,199.99,120.00,399.98
57,2023-05-16,10:15:00,157,Male,Clothing,3,29.99,20.00,89.97
58,2022-06-17,14:50:00,158,Female,Groceries,5,8.99,5.50,44.95
59,2034-07-18,17:00:00,159,Male,Toys,4,39.99,25.00,159.96
60,2023-08-19,15:00:00,160,Female,Furniture,1,649.99,400.00,649.99
